DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE
19-03-2025,4762053319,84314990,Machinery and Mechanical Appliances,(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR)(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EX,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,5,"$4,904.15",$980.83
19-03-2025,4761918534,84314990,Machinery and Mechanical Appliances,(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR)(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EX,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,15,"$14,712.46",$980.83
30-08-2024,1042912007,84314990,Machinery and Mechanical Appliances,(PART NO:402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,15,"$14,888.35",$992.56
30-08-2024,1042912006,84314990,Machinery and Mechanical Appliances,(PART NO:402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR),INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,10,"$9,925.56",$992.56
08-03-2025,1134132497,84314930,Machinery and Mechanical Appliances,402/L4851 GIUNTO ROTANTE 7 VIE 110 A-1851-16 (PARTS FOR EXCAVATOR LOADER FOR CAPTIVE USE)402/L4851 GIUNTO ROTANTE 7 VIE 110 A-1851-16 (PARTS FOR EX,INDIA,JCB INDIA LIMITED,DELHI AIR CARGO (INDEL4),ITALY,ALA OFFICINE SPA,MILAN,NOS,15,"$15,275.15","$1,018.34"
08-03-2025,1134132497,84314930,Machinery and Mechanical Appliances,402/L4851 GIUNTO ROTANTE 7 VIE 110 A-1851-16 (PARTS FOR EXCAVATOR LOADER FOR CAPTIVE USE)402/L4851 GIUNTO ROTANTE 7 VIE 110 A-1851-16 (PARTS FOR EX,INDIA,JCB INDIA LIMITED,DELHI AIR CARGO (INDEL4),ITALY,ALA OFFICINE SPA,MILAN,NOS,15,"$15,275.15","$1,018.34"
19-03-2025,4762053319,84314990,Machinery and Mechanical Appliances,(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR)(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EX,INDIA,JCB INDIA LIMITED,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,5,"$4,904.15",$980.83
19-03-2025,4761918534,84314990,Machinery and Mechanical Appliances,(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EXCAVATOR)(PART NO: 402/L4851) GIUNTO ROTANTE 7 VIE 110 (PARTS OF EX,INDIA,JCB INDIA Ltd,NHAVA SHEVA SEA (INNSA1),ITALY,ALA OFFICINE SPA,GENOA,NOS,15,"$14,712.46",$980.83
13-12-2024,6977018675,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309485 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309485,INDIA,ARX MINING AND CONSTRUCTION EQUIPMENT Pvt ltd,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,2,$659.25,$329.63
13-12-2024,6976929556,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309485 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309485,INDIA,ARX MINING & CONSTRUCTION EQUIPMENT PRIVATE LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,6,"$1,977.77",$329.63
13-12-2024,6976924734,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309486 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309486,INDIA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,3,$988.88,$329.63
13-12-2024,6976917156,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 309486 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 10211602,INDIA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,3,$988.88,$329.63
13-12-2024,6976929563,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 311398 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 311398,INDIA,ARX MINING AND CONSTRUCTION EQUIPMENT PRIVATE LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,6,"$1,977.77",$329.63
13-12-2024,6976924756,84314920,Machinery and Mechanical Appliances,GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 311398 (PARTS OF MOTOR GRADER)GIUNTO ROTANTE 8 VIE 60 A-2116-2 - 311398,INDIA,ARX MINING AND CONSTRUCTION Eqpt  PRIVATE LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,ALA OFFICINE SPA,SIEGEN,NOS,5,"$1,648.14",$329.63
08-03-2025,1134508846,84836090,Machinery and Mechanical Appliances,A08-1302-07L - ROTARY UNION M16 X 1\5 LH PT.16 AXIAL AS PERINVOICEA08-1302-07L - ROTARY UNION M16 X 1\5 LH PT.16 AXIAL AS PER,INDIA,ROTOFLUX ROTARY JOINTS INDIA PRIVATE LIMITED,CHENNAI AIR CARGO (INMAA4),ITALY,ROTOFLUX SRL,MILAN,NOS,5,"$1,044.67",$208.94
03-09-2024,7991703530,84836090,Machinery and Mechanical Appliances,A08-1501-05L - ROTARY UNION M16X1.5 LH PT.18 RADIAL AS PER INVOICE,INDIA,ROTOFLUX ROTARY JOINTS INDIA PRIVATE LIMITED,CHENNAI AIR CARGO (INMAA4),ITALY,ROTOFLUX ,MILAN,NOS,30,"$4,989.85",$166.33
03-09-2024,7991691559,84836090,Machinery and Mechanical Appliances,A08-1520-05L - ROTARY UNION M16X1.5 LH PT.18 RADIAL AS PER INVOICE,INDIA,ROTOFLUX ROTARY JOINTS INDIA PRIVATE LIMITED,CHENNAI AIR CARGO (INMAA4),ITALY,ROTOFLUX ,MILAN,NOS,30,"$5,804.52",$193.48
7/8/2025,1126344187,84836090,Machinery and Mechanical Appliances,(FOC) MD0075-00016 - GUINTO ROTANTE DUE VIE DA 3/4 - ROTARY UNIONMD0075-00016 - GUINTO ROTANTE DUE VIE DA,INDIA,JSW STEEL LIMITED,BANGLORE AIR CARGO (INBLR4),ITALY,GIROL S.R.L.,,NOS,55,$23.40,$0.43
03-09-2024,7991651531,84836090,Machinery and Mechanical Appliances,A10-1771-05L - ROTARY UNION M16X1.5 LH PT.18 RADIAL AS PER INVOICE,INDIA,ROTOFLUX ROTARY JOINTS INDIA PRIVATE LIMITED,CHENNAI AIR CARGO (INMAA4),ITALY,ROTOFLUX ,MILAN,NOS,30,"$2,885.29",$96.18
