DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY,VALUE(USD),UNIT PRICE,Seller Group,Buyer Group,SBU,Spare / Unit / Others,Product,Model,Category,Application,Manufacturer,Relevancy
17-06-2025,4092655349,74152100,Copper / Articles of copper,0-00066.01/- SEALING RING 0-001280-048 8-WAYS ROTARY UNION,INDIA,HOLLISTER MEDICAL INDIA PRIVATE LIMITED,DELHI AIR CARGO (INDEL4),GERMANY,ARBURG GMBH CO KG,FRANKFURT AM MAIN,PIECE,4,$6.45,$1.61,ARBURG GMBH CO KG,HOLLISTER MEDICAL INDIA PRIVATE LIMITED,,Spare,Rotary Union,Unknown,New,Unknown,Unknown,Relevant
15-10-2025,7676146123,40169390,Rubber,ROTARY UNION SEAL RING (TYPE: SET) BOOSTER PUMP SEAL KIT,INDIA,BHAGYANAGAR COPPER PRIVATE Ltd,CHENNAI SEA (INMAA1),CHINA,BEIJING HOLLAND CO Limited,DALIAN,PIECE,20,$322.98,$16.15,BEIJING HOLLAND CO LTD,BHAGYANAGAR COPPER PRIVATE LIMITED,,Spare,Rotary Union,Unknown,New,Booster Pump,Unknown,Relevant
15-10-2025,7676146123,40169390,Rubber,ROTARY UNION SEAL RING (TYPE: SET) BOOSTER PUMP SEAL KIT,INDIA,BHAGYANAGAR COPPER PRIVATE LIMITED,CHENNAI SEA (INMAA1),CHINA,BEIJING HOLLAND CO LTD,DALIAN,PIECE,20,$322.98,$16.15,BEIJING HOLLAND CO LTD,BHAGYANAGAR COPPER PRIVATE LIMITED,,Spare,Rotary Union,Unknown,New,Booster Pump,Unknown,Relevant
22-08-2025,4233327038,84799090,Machinery and Mechanical Appliances,SEALING FOR 21/2IN DEUBLIN PART#2121485G(SPARE PARTS FOR METALLIZER MACHINE)(FOC)ROTARY UNION 2 1/2IN MODIFICATION PART#430G259(SPARE PARTS F,INDIA,CHIRIPAL POLY FILMS LIMITED,CHENNAI SEA (INMAA1),UNITED KINGDOM,BOBST MANCHESTER LTD,LONDON GATEWAY PARK,PIECE,1,$38.99,$39.00,BOBST MANCHESTER LTD,CHIRIPAL POLY FILMS LIMITED,D&T,Unit,Rotary Union,Unknown,New,Metallizer Machine,Unknown,Relevant
21-12-2024,6979274668,84818090,Machinery and Mechanical Appliances,ROTARY JOINT DQLB 280 ( C/O - DE)(DTLS. AS PER INVOICE) ROTARY JOINT DQLB 280 (DTLS. AS PER INVOICE),INDIA,IVL DHUNSERI PETROCHEM INDUSTRIES PRIVAT,KOLKATA AIR CARGO (INCCU4),GERMANY,CHRISTIAN MAIER ,,NOS,1,"$13,565.96","$13,565.96",CHRISTIAN MAIER,IVL DHUNSERI PETROCHEM INDUSTRIES PRIVAT,D&T,Unit,Rotary Union,DQLB280,New,Unknown,CHRISTIAN MAIER,Relevant
23-12-2024,6979278715,84818090,Machinery and Mechanical Appliances,1124001657 - ROTARY JOINT DS 125R111 (PARTS FOR TEXTILE STENTER MACHINE) QTY 2 PCS COO. GERMANY1124001657 - ROTARY JOINT DS 125R111 (PARTS FOR TEXTILE STEN,INDIA,INSPIRON ENGINEERING PRIVATE LIMITED,AHMEDABAD (INAMD4),GERMANY,CHRISTIAN MAIER ,STUTTGART,NOS,2,$666.17,$333.09,CHRISTIAN MAIER,INSPIRON ENGINEERING PRIVATE LIMITED,D&T,Unit,Rotary Union,DS125,New,Textile Stenter Machine,CHRISTIAN MAIER,Relevant
10-12-2024,6976411997,84818090,Machinery and Mechanical Appliances,1108211 ROTARY JOINT H 125 L 1108211 ROTARY JOINT H 125 L,INDIA,KUSTERS CALICO MACHINERY PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),GERMANY,CHRISTIAN MAIER ,STUTTGART,NOS,2,$668.91,$334.46,CHRISTIAN MAIER,KUSTERS CALICO MACHINERY PRIVATE LIMITED,D&T,Unit,Rotary Union,H125,New,Unknown,CHRISTIAN MAIER,Relevant
10-12-2024,6976411996,84818090,Machinery and Mechanical Appliances,1108210 ROTARY JOINT H 125 R 1108210 ROTARY JOINT H 125 R,INDIA,KUSTERS CALICO MACHINERY PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),GERMANY,CHRISTIAN MAIER ,STUTTGART,NOS,2,$668.91,$334.46,CHRISTIAN MAIER,KUSTERS CALICO MACHINERY PRIVATE LIMITED,D&T,Unit,Rotary Union,H125,New,Unknown,CHRISTIAN MAIER,Relevant
10-12-2024,6976411999,84818090,Machinery and Mechanical Appliances,1108217 ROTARY JOINT H 325 L 1108217 ROTARY JOINT H 325 L,INDIA,KUSTERS CALICO MACHINERY PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),GERMANY,CHRISTIAN MAIER ,STUTTGART,NOS,6,"$2,038.10",$339.68,CHRISTIAN MAIER,KUSTERS CALICO MACHINERY PRIVATE LIMITED,D&T,Unit,Rotary Union,H325,New,Unknown,CHRISTIAN MAIER,Relevant
10-12-2024,6976411998,84818090,Machinery and Mechanical Appliances,1108216 ROTARY JOINT H 325 R 1108216 ROTARY JOINT H 325 R,INDIA,KUSTERS CALICO MACHINERY PRIVATE LIMITED,BOMBAY AIR CARGO (INBOM4),GERMANY,CHRISTIAN MAIER ,STUTTGART,NOS,9,"$3,057.16",$339.68,CHRISTIAN MAIER,KUSTERS CALICO MACHINERY PRIVATE LIMITED,D&T,Unit,Rotary Union,H325,New,Unknown,CHRISTIAN MAIER,Relevant
