DATE,SHIPMENT ID,HS CODE,INDUSTRY,PRODUCT DESCRIPTION,BUYER COUNTRY,BUYER,DESTINATION PORT,SELLER COUNTRY,SELLER,ORIGIN PORT,UNIT,QUANTITY, VALUE(USD) , UNIT PRICE 
3/11/2022,6751441750,28491000,Chemicals,CALCIUM CARBIDE 30-80MM GAS YIELD: 298L/KG (LIC NO.01/2019/BI-3950/VALID:31.12.2024)AIFTA 0131608/SBY/2022 DT.24.10.2022 ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),INDONESIA,PT EMDEKI UTAMA TBK,SURABAYA,MTS,42.00," $ 46,208.17 "," $ 1,100.19 "
3/11/2022,6751441481,28491000,Chemicals,CALCIUM CARBIDE 30-80MM GAS YIELD: 298L/KG (LIC NO.01/2019/BI-3950/VALID:31.12.2024)AIFTA 0132941/SBY/2022 DT.26.10.2022 ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),INDONESIA,PT EMDEKI UTAMA TBK,SURABAYA,MTS,63.00," $ 69,312.26 "," $ 1,100.19 "
10/10/2022,9200188707,28491000,Chemicals,CALCIUM CARBIDE - SIZE:30-80MM(90%) - GAS YIELD:298(+)(-)3%LITRE/KG SEALED WITH NITROGEN(DG CARGO) FOR INDUSTRIAL PRPS ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),INDONESIA,PT EMDEKI UTAMA TBK,SURABAYA,MTS,42.00," $ 47,678.43 "," $ 1,135.20 "
10/10/2022,9200188699,28491000,Chemicals,CALCIUM CARBIDE - SIZE:30-80MM(90%) - GAS YIELD:298(+)(-)3%LITRE/KG SEALED WITH NITROGEN(DG CARGO) FOR INDUSTRIAL PRPS ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),INDONESIA,PT EMDEKI UTAMA TBK,SURABAYA,MTS,63.00," $ 71,517.65 "," $ 1,135.20 "
22/9/2022,1322799838,28491000,Chemicals,CALCIUM CARBIDE - SIZE:30-80MM(90%) - GAS YIELD:298(+)(-)3%LITRE/KG SEALED WITH NITROGEN(DG CARGO) FOR INDUSTRIAL PRPS ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),INDONESIA,PT EMDEKI UTAMA TBK,,MTS,63.00," $ 71,517.65 "," $ 1,135.20 "
6/9/2022,1322743517,28491000,Chemicals,CALCIUM CARBIDE - SIZE:30-80MM(90%) - GAS YIELD:298(+)(-)3%LITRE/KG SEALED WITH NITROGEN(DG CARGO) FOR INDUSTRIAL PRPS ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),INDONESIA,PT EMDEKI UTAMA TBK,,MTS,42.00," $ 47,678.43 "," $ 1,135.20 "
12/8/2022,0284904094,28491000,Chemicals,CALCIUM CARBIDE 25-50MM GAS YIELD: 295L/KG (LIC NO: 01/2019/BI-3950/VALID:31.12.2024) ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),CHINA,NEW OCEAN GROUP CO LIMITED,,MTS,225.00," $ 272,298.19 "," $ 1,210.21 "
12/8/2022,0284897921,28491000,Chemicals,CALCIUM CARBIDE 30-80MM GAS YIELD: 298L/KG (LIC NO.01/2019/BI-3950/VALID:31.12.2024)AIFTA 0067753/SBY/2022 DT.25.07.2022 ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),INDONESIA,PT EMDEKI UTAMA TBK,,MTS,42.00," $ 46,208.18 "," $ 1,100.19 "
12/8/2022,0284897867,28491000,Chemicals,CALCIUM CARBIDE 30-80MM GAS YIELD: 298L/KG (LIC NO.01/2019/BI-3950/VALID:31.12.2024)AIFTA 0070891/SBY/2022 DT.03.08.2022 ,INDIA,JAMIPOL LIMITED,CHENNAI SEA (INMAA1),INDONESIA,PT EMDEKI UTAMA TBK,,MTS,63.00," $ 69,312.27 "," $ 1,100.19 "
4/8/2022,0284116981,28491000,Chemicals,CALCIUM CARBIDE-SIZE 25-50MM-GAS YIELD 295 LITRE/KG TESTED IN 20 DEGREE C & 101.3 KPA (DG CARGO) FOR INDUSTRIAL PRPS ,INDIA,JAMIPOL LIMITED,KOLKATA SEA (INCCU1),CHINA,NEW OCEAN GROUP CO LIMITED,,MTS,112.50," $ 136,149.09 "," $ 1,210.21 "
