date,shipment_id,hs_code,industry,product_description,buyer_country,destination_port,buyer,seller_country,seller,origin_port,unit,quantity,valueusd,unit_price,_derived_value_calc,_value_mismatch,Seller Group,Buyer Group,Normalized_Model_Internal,Match_Score,Spare / Unit / Others,Unit_Normalized,Manufacturer,Model,type,Extracted_Condition,Product,Category,Type,Seller_Type,Buyer_Type,product,Relevancy,relevancy_confidence,calc_value,value_diff_pct,shipment_type
2023-05-13,8849381763,28112200.0,Inorganic Chemicals,PHX CRYSTAL CRISTOBALITE GRITS 0.1-0.4MM (SILICON DIOXIDE)(FOR THE MANUFACTURE OF QUARTZ SLABS)(100% EOU UNIT),INDIA,CHENNAI SEA (INMAA1),MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,VIETNAM,PHENIKAA HUE MINERAL PROCESSING & INVESTMENT ONE MEMBER COMPANY LIMITED,DA NANG,MTS,520.0,125816.0,0.24,124.8,True,,MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,,28.95,Others,mts,PHENIKAA HUE MINERAL PROCESSING INVESTMENT ONE MEMBER COMPANY LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.3824,124.8,0.9990080752845425,Unknown
2023-08-22,0130906101,68042290.0,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",POLISHING GLAZED ABRASIVES TYPE T1 L140 GRITS 150# 180# 240# 320# 400# 600# 800# 1000#,INDIA,MUNDRA (INMUN1),SHIVSARA CERAMIKA,CHINA,FOSHAN KCL INDUSTRY CO LTD,GAOMING,MTS,20.0,125425.0,6.26,125.19999999999999,True,,SHIVSARA CERAMIKA,L140,67.45,Others,mts,FOSHAN KCL INDUSTRY CO LTD,L140,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4388,125.19999999999999,0.9990017939007375,Unknown
2019-05-25,2.5052E+15,72051011.0,Iron and Steel,STEEL SHOTS AND GRITS -,INDIA,NHAVA SHEVA SEA (INNSA1),ASIAN STEEL INDUSTRIES,CHINA,ZIBO CONTINENTAL CARBON CO LTD,,MTS,253.0,125269.0,495.13,125267.89,True,,ASIAN STEEL INDUSTRIES,,27.78,Others,mts,ZIBO CONTINENTAL CARBON CO LTD,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4692,125267.89,8.860931275898922e-06,Unknown
2023-08-07,3753152499,28112200.0,Inorganic Chemicals,PHX CRYSTAL CRISTOBALITE GRITS 0.1-0.4MM (SILICON DIOXIDE)(FOR THE MANUFACTURE OF QUARTZ SLABS)(100% EOU UNIT),INDIA,CHENNAI SEA (INMAA1),MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,VIETNAM,PHENIKAA HUE MINERAL PROCESSING & INVESTMENT ONE MEMBER COMPANY LIMITED,DA NANG,MTS,520.0,124687.0,0.24,124.8,True,,MARUDHAR ROCKS INTERNATIONAL PRIVATE LIMITED,,28.95,Others,mts,PHENIKAA HUE MINERAL PROCESSING INVESTMENT ONE MEMBER COMPANY LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.3824,124.8,0.9989990937307016,Unknown
2019-03-08,0308201925426550,68042190.0,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",LAPATO ABRASIVE TYPE:- T1 L140 GRITS:- 180# 240# 320# 400# 600# 800# 1000# 1200# 1500# 2000# 3000# 6000#(47832P,INDIA,MUNDRA (INMUN1),KEDA INDUSTRIAL INDIA LIMITED,CHINA,KCL INDUSTRY CO. LIMITED.,GAOMING,MTS,14.0,123407.0,8.87,124.17999999999999,True,,KEDA INDUSTRIAL INDIA LIMITED,L140,69.17,Others,mts,KCL INDUSTRY CO LIMITED,L140,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.3597,124.17999999999999,0.9989937361737989,Unknown
2023-10-07,3751208229,72051011.0,Iron and Steel,STEEL SHOT STEEL GRIT,INDIA,NHAVA SHEVA SEA (INNSA1),ASIAN STEEL INDUSTRIES,CHINA,SHANDONG ZHONGXING METAL PRODUCTS CO LTD,QINGDAO,MTS,189.0,123242.0,652.07,123241.23000000001,False,,ASIAN STEEL INDUSTRIES,,25.0,Others,mts,SHANDONG ZHONGXING METAL PRODUCTS CO LTD,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.473,123241.23000000001,6.247870044218064e-06,Unknown
2022-03-04,1123256750,72051021.0,Iron and Steel,FERROSAD F55F STEEL SHOT S110M (FOR USE IN MANUFACTURING OFSTAINLESS STEEL COILS),INDIA,GARHI HARSARU - GURGAON ICD (INGHR6),JINDAL STAINLESS LIMITED,GERMANY,METALLTECHNIK SCHMIDT GMBH,,MTS,108.0,122310.0,1.13,122.03999999999999,True,,JINDAL STAINLESS LIMITED,S110M,66.42,Spare,mts,METALLTECHNIK SCHMIDT GMBH,S110M,Old,Old,Steel Shot,Shots,Stainless Steel,Trader,End Customer,Steel Shot,Irrelevant,0.4665,122.03999999999999,0.9990022075055188,Unknown
2023-10-20,9454236693,72051011.0,Iron and Steel,STEEL SHOTS,INDIA,NHAVA SHEVA SEA (INNSA1),ASIAN STEEL INDUSTRIES,HONG KONG,WESTSUN DEVELOPMENT LIMITED,QINGDAO,MTS,216.0,118800.0,550.0,118800.0,False,,ASIAN STEEL INDUSTRIES,,24.56,Others,mts,WESTSUN DEVELOPMENT LIMITED,,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.4715,118800.0,0.0,Unknown
2019-07-19,1.9072E+15,68042190.0,"Articles of Stone, Plaster, Cement, Asbestos, mica or similar",LAPATO ABRASIVE TYPE: T1 L140 GRITS:- 180# 240# 320# 40 0# 600# 800# 1000# 1200# 1500# 2000# 3000# 6000# (45,INDIA,MUNDRA (INMUN1),KEDA INDUSTRIAL INDIA LIMITED,CHINA,,,MTS,13.0,118453.0,8.86,115.17999999999999,True,,KEDA INDUSTRIAL INDIA LIMITED,L140,69.17,Others,mts,,L140,Old,Old,Steel Shot,Shots,High Carbon,Trader,End Customer,Steel Shot,Irrelevant,0.3467,115.17999999999999,0.9990276312123797,Unknown
2021-03-12,1007298470,72051021.0,Iron and Steel,FERROSAD F55F STEEL SHOT S110M (FOR USE IN MANUFACTURING OFSTAINLESS STEEL COILS),INDIA,GARHI HARSARU - GURGAON ICD (INGHR6),JINDAL STAINLESS LIMITED,GERMANY,METALLTECHNIK SCHMIDT GMBH,,MTS,98.0,118140.0,1.21,118.58,True,,JINDAL STAINLESS LIMITED,S110M,66.42,Spare,mts,METALLTECHNIK SCHMIDT GMBH,S110M,Old,Old,Steel Shot,Shots,Stainless Steel,Trader,End Customer,Steel Shot,Irrelevant,0.4672,118.58,0.9989962756052141,Unknown
